, ,제 52 기 반기,Unnamed: 2,제 51 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),5555083,10440009,5180576,10224161
2,기타포괄손익,256034,1295202,1756284,4581644
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,1516017,326736,164953,733680
4,        기타포괄손익-공정가치금융자산평가손익,1498950,389339,181816,789897
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,21823,-25151,363,-1757
6,        순확정급여부채 재측정요소,-4756,-37452,-17226,-54460
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-1259983,968466,1591331,3847964
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-4661,24283,27704,65419
9,        해외사업장환산외환차이,-1259232,969311,1567642,3777018
10,        현금흐름위험회피파생상품평가손익,3910,-25128,-4015,5527
11,총포괄손익,5811117,11735211,6936860,14805805
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,5673105,11644605,6795351,14632924
14,    비지배지분,138012,90606,141509,172881
