, ,제 53 기 1분기,Unnamed: 2,제 52 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),7141685,7141685,4884926,4884926
2,기타포괄손익,4299126,4299126,1039168,1039168
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,1866697,1866697,-1189281,-1189281
4,        기타포괄손익-공정가치금융자산평가손익,1885011,1885011,-1109611,-1109611
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,14425,14425,-46974,-46974
6,        순확정급여부채(자산) 재측정요소,-32739,-32739,-32696,-32696
7,    후속적으로 당기손익으로 재분류되는 포괄손익,2432429,2432429,2228449,2228449
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-53921,-53921,28944,28944
9,        해외사업장환산외환차이,2457265,2457265,2228543,2228543
10,        현금흐름위험회피파생상품평가손익,29085,29085,-29038,-29038
11,총포괄손익,11440811,11440811,5924094,5924094
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,11221179,11221179,5971500,5971500
14,    비지배지분,219632,219632,-47406,-47406
